link,title,property_id,postcode-L1,postcode-L2,price-monthly,bed,bath,max-tenants,list-date,let-agreed,Furnishing,EPC Rating
https://www.openrent.co.uk/property-to-rent/birmingham/4-bed-terraced-house-stratford-house-rd-b5/1609915,"4 Bed Terraced House, Stratford House Rd, B5",1609915,B5,207EZ,"1,799.00",4,3,6,20230126,,Unfurnished,B
https://www.openrent.co.uk/property-to-rent/plymouth/room-in-a-shared-house-eton-avenue-pl1/1609916,"Room in a Shared House, Eton Avenue, PL1",1609916,PL1,205DP,460.00,4,2,4,20230126,,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/southampton/studio-flat-seafarers-court-so14/1609917,"Studio Flat, Seafarers Court, SO14",1609917,SO14,203SG,850.00,1,1,2,20230129,20230209,Unfurnished,C
https://www.openrent.co.uk/property-to-rent/colchester/6-bed-semi-detached-house-harwich-road-co4/1609920,"6 Bed Semi-Detached House, Harwich Road, CO4",1609920,CO4,203DB,"3,200.00",6,6,6,20230126,20230225,Furnished,C
https://www.openrent.co.uk/property-to-rent/hounslow/1-bed-flat-quest-house-tw3/1609927,"1 Bed Flat, Quest House, TW3",1609927,TW3,203JB,"1,400.00",1,1,2,20230126,20230202,Unfurnished,C
https://www.openrent.co.uk/property-to-rent/london/1-bed-flat-lafone-street-se1/1609929,"1 Bed Flat, Lafone Street, SE1",1609929,SE1,202NA,"2,250.00",1,1,2,20230128,20230208,Furnished,Currently Being Obtained
https://www.openrent.co.uk/property-to-rent/london/room-in-a-shared-flat-raynald-house-sw16/1609930,"Room in a Shared Flat, Raynald House, SW16",1609930,SW16,202TR,650.00,5,1,1,20230126,20230129,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/london/1-bed-flat-plashet-grove-e6/1609932,"1 Bed Flat, Plashet Grove, E6",1609932,E6,201BX,"1,300.00",1,1,1,20230126,20230131,Unfurnished,D
https://www.openrent.co.uk/property-to-rent/bidford-on-avon-alcester/2-bed-flat-high-street-b50/1609935,"2 Bed Flat, High Street, B50",1609935,B50,204BQ,675.00,2,1,2,20230127,20230202,Unfurnished,C
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-queen-mary-avenue-e18/1609936,"2 Bed Flat, Queen Mary Avenue, E18",1609936,E18,202FG,"2,100.00",2,2,4,20230126,,Furnished,C
https://www.openrent.co.uk/property-to-rent/watford/room-in-a-shared-flat-brixton-road-wd24/1609937,"Room in a Shared Flat, Brixton Road, WD24",1609937,WD24,204DX,800.00,1,1,1,20230126,20230212,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/watford/room-in-a-shared-house-leavesden-road-wd24/1609939,"Room in a Shared House, Leavesden Road, WD24",1609939,WD24,205ER,750.00,1,1,1,20230126,20230203,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/derby/room-in-a-shared-house-london-road-de24/1609941,"Room in a Shared House, London Road, DE24",1609941,DE24,208PX,515.00,10,10,1,20230126,20230216,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/bradford/2-bed-terraced-house-lonsdale-street-bd3/1609942,"2 Bed Terraced House, Lonsdale Street, BD3",1609942,BD3,200AN,560.00,2,1,2,20230126,20230129,Unfurnished,D
https://www.openrent.co.uk/property-to-rent/harrow/studio-flat-blawith-road-ha1/1609944,"Studio Flat, Blawith Road, HA1",1609944,HA1,201TL,"1,200.00",1,1,3,20230126,20230202,Furnished,C
https://www.openrent.co.uk/property-to-rent/dundee/room-in-a-shared-house-clayhills-drive-dd2/1609946,"Room in a Shared House, Clayhills Drive, DD2",1609946,DD2,201SX,595.00,2,2,2,20230127,20230202,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/bracknell/3-bed-terraced-house-waverley-rg12/1609949,"3 Bed Terraced House, Waverley, RG12",1609949,RG12,208UJ,"1,600.00",3,2,4,20230222,,Unfurnished,D
https://www.openrent.co.uk/property-to-rent/rainham/1-bed-flat-leston-close-rm13/1609950,"1 Bed Flat, Leston Close, RM13",1609950,RM13,209NF,950.00,1,1,2,20230126,20230204,Furnished,C
https://www.openrent.co.uk/property-to-rent/york/4-bed-end-terrace-fifth-avenue-yo31/1609951,"4 Bed End Terrace, Fifth Avenue, YO31",1609951,YO31,200UP,"3,206.67",4,1,4,20230126,20230130,Furnished,D
https://www.openrent.co.uk/property-to-rent/elgin/4-bed-detached-house-kintrae-view-iv30/1609952,"4 Bed Detached House, Kintrae View, IV30",1609952,IV30,205NA,"1,500.00",4,4,1,20230126,20230301,Unfurnished,C
https://www.openrent.co.uk/property-to-rent/london/3-bed-flat-hamlet-gardens-w6/1609953,"3 Bed Flat, Hamlet Gardens, W6",1609953,W6,200TR,"6,673.33",3,3,3,20230126,20230223,At tenant choice,Currently Being Obtained
https://www.openrent.co.uk/property-to-rent/london/room-in-a-shared-flat-tanfield-avenue-nw2/1609954,"Room in a Shared Flat, Tanfield Avenue, NW2",1609954,NW2,207SB,800.00,1,1,1,20230126,,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/brighton/1-bed-flat-richmond-terrace-bn2/1609955,"1 Bed Flat, Richmond Terrace, BN2",1609955,BN2,209SY,"1,195.00",1,1,2,20230227,,Unfurnished,C
https://www.openrent.co.uk/property-to-rent/croydon/2-bed-flat-peebles-court-cr0/1609957,"2 Bed Flat, Peebles Court, CR0",1609957,CR0,204WJ,"1,600.00",2,2,3,20230131,20230227,Unfurnished,B
https://www.openrent.co.uk/property-to-rent/brackley/2-bed-terraced-house-longwall-nn13/1609958,"2 Bed Terraced House, Longwall, NN13",1609958,NN13,206QB,"1,800.00",2,2,4,20230209,20230225,Furnished,B
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-hamlet-gardens-w6/1609959,"2 Bed Flat, Hamlet Gardens, W6",1609959,W6,200TS,"3,618.33",2,1,1,20230222,,At tenant choice,D
https://www.openrent.co.uk/property-to-rent/rainham/room-in-a-shared-house-knightswood-road-rm13/1609960,"Room in a Shared House, Knightswood Road, RM13",1609960,RM13,208SE,740.00,3,2,1,20230126,,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/lincoln/2-bed-end-terrace-manby-street-ln5/1609962,"2 Bed End Terrace, Manby Street, LN5",1609962,LN5,208NW,850.00,2,1,3,20230126,20230217,Unfurnished,C
https://www.openrent.co.uk/property-to-rent/london/1-bed-flat-hamlet-gardens-w6/1609964,"1 Bed Flat, Hamlet Gardens, W6",1609964,W6,200TS,"2,730.00",1,1,1,20230126,,At tenant choice,E
